ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
119.0,100.0,-18.0,1547.0,1605,1450,135,,0,0.0,3,3,-2.0,1448.0,ORD,599.0,0,7449,0.0,12,0.0,CLT,0.0,N679BR,7.0,11.0,DH,0.0,2003
,,,,1125,1005,80,,1,,6,30,,,ALB,318.0,0,360,,12,,DCA,,UNKNOW,0.0,0.0,US,,2000
51.0,35.0,-14.0,647.0,701,600,61,,0,,1,12,-4.0,556.0,IAH,201.0,0,2510,,5,,CRP,,N15910,8.0,8.0,XE,,2003
222.0,200.0,-4.0,1216.0,1220,830,230,,0,,4,26,4.0,834.0,SJU,1576.0,0,1268,,10,,PHL,,N782AU,8.0,14.0,US,,1995
157.0,144.0,1.0,941.0,940,700,160,,0,,1,8,4.0,704.0,TPA,920.0,0,223,,4,,PHL,,N223US,5.0,8.0,US,,1996
59.0,39.0,4.0,917.0,913,818,55,,0,,4,30,0.0,818.0,ANC,261.0,0,88,,7,,FAI,,N764AS,5.0,15.0,AS,,1998
88.0,75.0,-10.0,1250.0,1300,1125,95,,0,,7,10,-3.0,1122.0,MEM,559.0,0,1711,,9,,AUS,,N8925E,5.0,8.0,NW,,1995
66.0,,-5.0,2205.0,2210,2200,70,,0,,5,4,-1.0,2159.0,ORD,235.0,0,1710,,2,,DTW,,,,,NW,,1994
64.0,50.0,-24.0,1956.0,2020,1900,80,,0,0.0,2,10,-8.0,1852.0,LGA,214.0,0,4976,0.0,2,0.0,DCA,0.0,N720MQ,5.0,9.0,MQ,0.0,2004
,,,,841,745,56,B,1,0.0,5,16,,,ASE,125.0,0,7047,0.0,2,0.0,DEN,0.0,N434YV,0.0,0.0,YV,0.0,2007
130.0,,-14.0,1801.0,1815,1651,144,,0,,4,30,0.0,1651.0,ORD,717.0,0,693,,8,,ORF,,,,,UA,,1990
280.0,,150.0,2320.0,2050,1330,260,,0,,4,15,130.0,1540.0,DTW,1979.0,0,26,,2,,LAX,,,,,NW,,1990
148.0,105.0,6.0,1320.0,1314,1155,139,,0,,5,31,-3.0,1152.0,STL,737.0,0,603,,3,,BWI,,N922TW,34.0,9.0,TW,,2000
64.0,56.0,-1.0,2144.0,2145,2040,65,,0,0.0,7,11,0.0,2040.0,BUR,358.0,0,893,0.0,1,0.0,SMF,0.0,N369,1.0,7.0,WN,0.0,2004
85.0,48.0,13.0,623.0,610,500,70,,0,,4,24,-2.0,458.0,MSP,284.0,0,2843,,1,,GFK,,89709E,10.0,27.0,9E,,2008
75.0,62.0,0.0,2245.0,2245,2130,75,,0,,3,22,0.0,2130.0,OAK,446.0,0,398,,2,,SAN,,N513,4.0,9.0,WN,,1995
166.0,150.0,-4.0,1446.0,1450,1200,170,,0,0.0,1,31,0.0,1200.0,BDL,1133.0,0,1449,0.0,7,0.0,PBI,0.0,N6713Y,3.0,13.0,DL,0.0,2006
103.0,82.0,62.0,1536.0,1434,1238,116,,0,0.0,5,28,75.0,1353.0,BUF,712.0,0,550,62.0,12,0.0,ATL,0.0,N937AT,4.0,17.0,FL,0.0,2007
160.0,147.0,-20.0,1840.0,1900,1605,175,,0,,6,2,-5.0,1600.0,TPA,998.0,0,1218,,3,,EWR,,N17306,3.0,10.0,CO,,2002
108.0,,3.0,1358.0,1355,1210,105,,0,,1,6,0.0,1210.0,SEA,671.0,0,475,,7,,OAK,,,,,AS,,1992
252.0,211.0,5.0,1415.0,1410,800,250,,0,,1,25,3.0,803.0,ORD,1846.0,0,46,,6,,SFO,,N589ä1,4.0,37.0,UA,,2001
87.0,61.0,-1.0,727.0,728,600,88,,0,0.0,1,5,0.0,600.0,RDU,416.0,0,4625,0.0,9,0.0,EWR,0.0,N704PG,3.0,23.0,MQ,0.0,2005
197.0,171.0,-7.0,1252.0,1259,1135,204,,0,,7,29,0.0,1135.0,ELP,1282.0,0,325,,12,,ATL,,N522DA,7.0,19.0,DL,,2002
80.0,,-5.0,1235.0,1240,1115,85,,0,,2,15,0.0,1115.0,ATL,443.0,0,1018,,8,,MLB,,,,,DL,,1989
75.0,57.0,8.0,731.0,723,500,83,,0,0.0,1,29,16.0,516.0,ATL,425.0,0,2047,0.0,9,0.0,MSY,0.0,N949DL,5.0,13.0,DL,0.0,2003
66.0,43.0,-5.0,2209.0,2214,2108,66,,0,0.0,2,13,-5.0,2103.0,FLO,273.0,0,4255,0.0,7,0.0,ATL,0.0,N923EV,4.0,19.0,EV,0.0,2004
36.0,,3.0,1533.0,1530,1500,30,,0,,3,26,-3.0,1457.0,SFO,77.0,0,1770,,12,,MRY,,,,,UA,,1990
99.0,,-12.0,739.0,751,700,111,,0,,7,16,0.0,700.0,ORD,607.0,0,819,,4,,SYR,,,,,AA,,1989
51.0,39.0,4.0,1954.0,1950,1900,50,,0,,5,21,3.0,1903.0,ELP,223.0,0,432,,6,,ABQ,,N338,2.0,10.0,WN,,1996
117.0,93.0,-12.0,1719.0,1731,1516,135,,0,,1,25,6.0,1522.0,BOS,728.0,0,720,,6,,CLT,,N770äæ,11.0,13.0,US,,2001
189.0,175.0,-22.0,433.0,455,2325,210,,0,,2,26,-1.0,2324.0,MKE,1524.0,0,519,,8,,LAS,,N173AT,5.0,9.0,FL,,2008
149.0,111.0,12.0,1629.0,1617,1500,137,,0,,1,11,0.0,1500.0,STL,737.0,0,559,,9,,BWI,,N922TW,4.0,34.0,TW,,2000
148.0,125.0,266.0,2156.0,1730,1402,148,,0,259.0,4,1,266.0,1828.0,SJU,1045.0,0,1049,7.0,12,0.0,MIA,0.0,N623AA,3.0,20.0,AA,0.0,2005
170.0,155.0,-13.0,1149.0,1202,700,182,,0,,7,4,-1.0,659.0,MSP,1300.0,0,778,,5,,LAS,,N534US,3.0,12.0,NW,,2003
108.0,,-1.0,2203.0,2204,2015,109,,0,,7,3,0.0,2015.0,SJC,697.0,0,1442,,11,,SEA,,,,,AA,,1991
63.0,51.0,-12.0,938.0,950,835,75,,0,,4,18,0.0,835.0,ONT,325.0,0,600,,6,,PHX,,N342,2.0,10.0,WN,,1998
56.0,,-2.0,703.0,705,700,65,,0,,4,7,7.0,707.0,MDW,229.0,0,531,,2,,DTW,,,,,WN,,1991
58.0,,7.0,1149.0,1142,1045,57,,0,,7,10,6.0,1051.0,PIT,253.0,0,327,,5,,ABE,,,,,US,,1992
33.0,,-1.0,2353.0,2354,2320,34,,0,,3,11,0.0,2320.0,SAN,109.0,0,1840,,11,,LAX,,,,,PS,,1987
163.0,,0.0,1123.0,1123,940,163,,0,,1,12,0.0,940.0,DEN,1062.0,0,1719,,10,,MSY,,,,,CO,,1987
57.0,,-4.0,841.0,845,745,60,,0,,3,27,-1.0,744.0,PIT,243.0,0,290,,7,,AVP,,,,,US,,1994
139.0,111.0,-7.0,1146.0,1153,930,143,,0,,2,25,-3.0,927.0,DFW,802.0,0,2315,,6,,ORD,,N558AA,15.0,13.0,AA,,2002
97.0,79.0,-3.0,907.0,910,732,98,,0,0.0,4,29,-2.0,730.0,ORD,522.0,0,4168,0.0,9,0.0,XNA,0.0,N510AE,3.0,15.0,MQ,0.0,2005
62.0,43.0,1.0,1015.0,1014,913,61,,0,0.0,3,3,0.0,913.0,ATL,152.0,0,4215,0.0,10,0.0,TYS,0.0,N925EV,10.0,9.0,EV,0.0,2007
244.0,217.0,1.0,1817.0,1816,1600,256,,0,0.0,2,26,13.0,1613.0,LAX,1745.0,0,123,0.0,8,0.0,ORD,0.0,N569UA,9.0,18.0,UA,0.0,2003
109.0,,6.0,1016.0,1010,827,103,,0,,3,28,0.0,827.0,DTW,594.0,0,534,,6,,ATL,,,,,DL,,1989
122.0,78.0,-9.0,1055.0,1104,900,124,,0,0.0,2,18,-7.0,853.0,DTW,501.0,0,537,0.0,9,0.0,LGA,0.0,N507US,9.0,35.0,NW,0.0,2007
101.0,85.0,-17.0,1736.0,1753,1700,113,,0,0.0,5,3,-5.0,1655.0,PIA,564.0,0,4646,0.0,12,0.0,ATL,0.0,N858AS,2.0,14.0,EV,0.0,2004
97.0,84.0,-2.0,1015.0,1017,844,93,,0,0.0,7,22,-6.0,838.0,ATL,445.0,0,307,0.0,7,0.0,SRQ,0.0,N149AT,5.0,8.0,FL,0.0,2007
158.0,140.0,-4.0,1434.0,1438,1200,158,,0,,4,25,-4.0,1156.0,MCO,1011.0,0,554,,12,,BUF,,N267AT,8.0,10.0,FL,,2008
57.0,43.0,31.0,1404.0,1333,1230,63,,0,,7,20,37.0,1307.0,GRR,268.0,0,2017,,10,,CVG,,N322DL,5.0,9.0,DL,,1996
148.0,131.0,-9.0,826.0,835,700,155,,0,,4,1,-2.0,658.0,MSP,906.0,0,739,,8,,ATL,,N95S,4.0,13.0,NW,,1996
115.0,103.0,5.0,1435.0,1430,1240,110,,0,0.0,2,21,0.0,1240.0,PHX,646.0,0,1405,0.0,10,0.0,OAK,0.0,N520,4.0,8.0,WN,0.0,2003
206.0,180.0,9.0,2051.0,2042,1916,206,,0,,6,8,9.0,1925.0,SNA,1205.0,0,1169,,9,,DFW,,N417A1,8.0,18.0,AA,,2001
140.0,123.0,11.0,1022.0,1011,700,131,,0,0.0,3,23,2.0,702.0,CVG,812.0,0,1610,0.0,7,0.0,DFW,0.0,N394DA,5.0,12.0,DL,0.0,2003
233.0,212.0,-23.0,1649.0,1712,1500,252,,0,,3,21,-4.0,1456.0,SNA,1726.0,0,649,,7,,ORD,,N5CNAA,5.0,16.0,AA,,1999
118.0,99.0,4.0,1638.0,1634,1541,113,,0,0.0,2,27,-1.0,1540.0,DEN,627.0,0,6554,0.0,3,0.0,FAR,0.0,N951SW,6.0,13.0,OO,0.0,2007
100.0,,3.0,1748.0,1745,1510,95,,0,,7,12,-2.0,1508.0,DSM,589.0,0,690,,3,,DEN,,,,,UA,,1989
160.0,142.0,-39.0,1154.0,1233,915,198,,0,,6,25,-1.0,914.0,MIA,1097.0,0,813,,12,,LGA,,N629AA,4.0,14.0,AA,,1999
51.0,41.0,4.0,1209.0,1205,1110,55,,0,,4,5,8.0,1118.0,TPA,197.0,0,1119,,12,,FLL,,N635,3.0,7.0,WN,,2002
83.0,64.0,-9.0,1035.0,1044,919,85,,0,0.0,5,16,-7.0,912.0,MSP,349.0,0,221,0.0,3,0.0,MDW,0.0,N944AT,8.0,11.0,FL,0.0,2007
97.0,88.0,7.0,1542.0,1535,1455,100,,0,,1,19,10.0,1505.0,ABQ,580.0,0,30,,1,,DAL,,N620,3.0,6.0,WN,,1998
115.0,,12.0,2055.0,2043,1757,106,,0,,5,18,3.0,1800.0,PHX,646.0,0,482,,1,,OAK,,,,,HP,,1991
87.0,,5.0,1607.0,1602,1440,82,,0,,1,7,0.0,1440.0,SFO,421.0,0,495,,6,,PSP,,,,,AS,,1993
40.0,28.0,-10.0,850.0,900,810,50,,0,0.0,5,7,0.0,810.0,ORF,159.0,0,1272,0.0,5,0.0,BWI,0.0,N633SW,2.0,10.0,WN,0.0,2004
63.0,45.0,-11.0,1749.0,1800,1650,70,,0,0.0,3,27,-4.0,1646.0,PHL,267.0,0,1465,0.0,12,0.0,PIT,0.0,N722UW,5.0,13.0,US,0.0,2006
71.0,42.0,2.0,1820.0,1818,1716,62,,0,,3,29,-7.0,1709.0,IAH,201.0,0,2842,,10,,LFT,,N13968,5.0,24.0,XE,,2008
180.0,158.0,3.0,2006.0,2003,1610,173,,0,,2,25,-4.0,1606.0,DCA,1208.0,0,468,,3,,IAH,,N17329,4.0,18.0,CO,,1997
119.0,97.0,-22.0,2258.0,2320,1958,142,,0,0.0,4,19,1.0,1959.0,JAX,817.0,0,168,0.0,4,0.0,IAH,0.0,N18622,6.0,16.0,CO,0.0,2007
250.0,233.0,15.0,1025.0,1010,815,235,,0,0.0,7,2,0.0,815.0,LAS,1521.0,0,880,0.0,11,15.0,MDW,0.0,N432,5.0,12.0,WN,0.0,2003
95.0,70.0,2.0,1037.0,1035,900,95,,0,0.0,6,31,2.0,902.0,STL,546.0,0,222,0.0,3,0.0,DAL,0.0,N322SW,4.0,21.0,WN,0.0,2007
269.0,233.0,48.0,2222.0,2134,1900,274,,0,6.0,1,4,53.0,1953.0,SFO,1846.0,0,157,42.0,8,0.0,ORD,0.0,N452UA,7.0,29.0,UA,0.0,2003
94.0,74.0,2.0,1713.0,1711,1545,86,,0,0.0,1,10,-6.0,1539.0,PHL,336.0,0,1238,0.0,12,0.0,RDU,0.0,N763US,9.0,11.0,US,0.0,2007
81.0,55.0,11.0,1127.0,1116,1008,68,,0,,5,28,-2.0,1006.0,PHX,338.0,0,204,,8,,SNA,,N169AW,6.0,20.0,HP,,1998
94.0,74.0,13.0,1008.0,955,920,95,,0,,3,20,14.0,934.0,STL,440.0,0,484,,5,,DTW,,N686,5.0,15.0,WN,,1998
80.0,64.0,22.0,1547.0,1525,1410,75,,0,,4,12,17.0,1427.0,OMA,423.0,0,332,,6,,MDW,,N686,8.0,8.0,WN,,1997
104.0,82.0,5.0,1412.0,1407,1225,102,,0,,2,5,3.0,1228.0,EWR,529.0,0,1123,,9,,CLT,,N829US,5.0,17.0,US,,1995
104.0,84.0,3.0,1137.0,1134,955,99,,0,,5,4,-2.0,953.0,CLE,554.0,0,1220,,7,,ATL,,N10251,6.0,14.0,CO,,1997
104.0,94.0,14.0,1654.0,1640,1545,115,,0,,4,7,25.0,1610.0,MDW,611.0,0,1377,,10,,BWI,,N358,4.0,6.0,WN,,1999
124.0,91.0,17.0,1154.0,1137,850,107,,0,,7,10,0.0,850.0,TPA,656.0,0,878,,10,,MEM,,N343NW,5.0,28.0,NW,,1999
84.0,,2.0,1519.0,1517,1355,82,,0,,6,28,0.0,1355.0,PVD,467.0,0,148,,3,,PIT,,,,,US,,1992
66.0,,-12.0,951.0,1003,945,78,,0,,7,5,0.0,945.0,MGM,372.0,0,1499,,7,,CLT,,,,,US,,1992
90.0,80.0,-10.0,1225.0,1235,1055,100,,0,,4,3,0.0,1055.0,OAK,543.0,0,1662,,4,,PDX,,N693,5.0,5.0,WN,,2003
58.0,49.0,-2.0,1933.0,1935,1835,60,,0,,6,4,0.0,1835.0,DAL,293.0,0,392,,7,,LBB,,N504,3.0,6.0,WN,,1998
273.0,231.0,0.0,610.0,610,2240,270,,0,0.0,4,12,-3.0,2237.0,JAX,2153.0,0,872,0.0,4,0.0,LAX,0.0,N3763D,19.0,23.0,DL,0.0,2007
72.0,,71.0,2134.0,2023,1903,80,,0,,2,11,79.0,2022.0,BTV,266.0,0,1288,,6,,EWR,,,,,CO,,1991
385.0,363.0,21.0,1141.0,1120,745,395,,0,0.0,6,19,31.0,816.0,SFO,2704.0,0,173,16.0,2,5.0,BOS,0.0,N649UA,6.0,16.0,UA,0.0,2005
76.0,48.0,11.0,1255.0,1244,1142,62,,0,,2,24,-3.0,1139.0,LIT,304.0,0,868,,11,,DFW,,N2ATAA,6.0,22.0,AA,,1998
50.0,,5.0,1150.0,1145,1100,45,,0,,4,19,0.0,1100.0,HOU,192.0,0,559,,11,,SAT,,,,,WN,,1992
389.0,369.0,-2.0,2257.0,2259,1920,399,,0,0.0,7,23,8.0,1928.0,ANC,2846.0,0,131,0.0,7,0.0,ORD,0.0,N615AS,6.0,14.0,AS,0.0,2006
142.0,121.0,-6.0,919.0,925,601,144,,0,,6,24,-4.0,557.0,DEN,992.0,0,1592,,8,,PDX,,N461UA,10.0,11.0,UA,,2002
75.0,61.0,-5.0,635.0,640,620,80,,0,0.0,4,19,0.0,620.0,SEA,399.0,0,789,0.0,6,0.0,BOI,0.0,N699,5.0,9.0,WN,0.0,2003
80.0,68.0,0.0,2045.0,2045,1925,80,,0,,5,28,0.0,1925.0,SNA,371.0,0,690,,5,,OAK,,N510,5.0,7.0,WN,,1999
86.0,70.0,-7.0,751.0,758,630,88,,0,0.0,3,25,-5.0,625.0,IAH,321.0,0,9552,0.0,5,0.0,SJT,0.0,N586SW,7.0,9.0,OO,0.0,2005
150.0,86.0,37.0,1203.0,1126,935,111,,0,,1,28,-2.0,933.0,DTW,594.0,0,476,,6,,ATL,,N8877Z,6.0,58.0,NW,,1999
126.0,108.0,0.0,1417.0,1417,1209,128,,0,0.0,4,31,2.0,1211.0,LAS,762.0,0,602,0.0,7,0.0,PDX,0.0,N958AS,10.0,8.0,AS,0.0,2003
51.0,,31.0,1321.0,1250,1151,59,,0,,3,28,39.0,1230.0,IAH,224.0,0,1428,,9,,DFW,,,,,DL,,1994
47.0,40.0,-8.0,2112.0,2120,2025,55,,0,,1,1,0.0,2025.0,SAT,248.0,0,173,,6,,DAL,,N334,2.0,5.0,WN,,1998
70.0,47.0,7.0,735.0,728,610,78,,0,0.0,2,30,15.0,625.0,IAD,288.0,0,7333,0.0,12,0.0,CLE,0.0,N706BR,7.0,16.0,DH,0.0,2003
71.0,58.0,-8.0,1113.0,1121,1006,75,,0,,3,9,-4.0,1002.0,PHX,355.0,0,2510,,7,,LGB,,N169AW,7.0,6.0,HP,,1997
98.0,73.0,86.0,1714.0,1548,1446,62,,0,0.0,1,20,50.0,1536.0,DFW,282.0,0,3406,50.0,3,36.0,LBB,0.0,N695AE,14.0,11.0,MQ,0.0,2006
139.0,115.0,-8.0,1822.0,1830,1500,150,,0,,6,13,3.0,1503.0,MCO,1005.0,0,929,,6,,ORD,,N429UA,6.0,18.0,UA,,1998
169.0,,-9.0,2341.0,2350,1953,177,,0,,2,2,-1.0,1952.0,IAH,1195.0,0,1614,,6,,SLC,,,,,DL,,1992
100.0,79.0,-1.0,1159.0,1200,1020,100,,0,,5,7,-1.0,1019.0,MSP,449.0,0,126,,3,,STL,,N414EA,4.0,17.0,TW,,1997
81.0,,2.0,911.0,909,750,79,,0,,6,22,0.0,750.0,ORD,258.0,0,888,,4,,STL,,,,,AA,,1989
76.0,,19.0,1549.0,1530,1435,55,,0,,2,13,-2.0,1433.0,FSD,197.0,0,152,,3,,MSP,,,,,NW,,1990
71.0,53.0,16.0,1823.0,1807,1641,86,,0,6.0,4,9,31.0,1712.0,CRP,354.0,0,3367,10.0,12,0.0,DFW,0.0,N630AE,4.0,14.0,MQ,0.0,2004
233.0,207.0,-4.0,1912.0,1916,1720,236,,0,0.0,3,25,-1.0,1719.0,SAN,1532.0,0,185,0.0,1,0.0,MSP,0.0,N541US,3.0,23.0,NW,0.0,2006
140.0,,120.0,1506.0,1306,1000,126,,0,,7,13,106.0,1146.0,DEN,862.0,0,278,,12,,LAX,,,,,UA,,1987
,,,,1130,1005,85,,1,,2,18,,,BWI,495.0,0,1162,,2,,SDF,,,0.0,0.0,WN,,2003
160.0,,4.0,2055.0,2051,1815,156,,0,,4,19,0.0,1815.0,SNA,978.0,0,1635,,8,,SEA,,,,,AA,,1993
53.0,,2.0,1256.0,1254,1205,49,,0,,1,8,-2.0,1203.0,IAD,134.0,0,1195,,5,,PHL,,,,,UA,,1989
145.0,117.0,-7.0,1333.0,1340,1110,150,,0,,3,20,-2.0,1108.0,DCA,920.0,0,1378,,11,,MIA,,N3CUAA,4.0,24.0,AA,,2002
80.0,,3.0,1632.0,1629,1510,79,,0,,4,23,2.0,1512.0,DCA,444.0,0,149,,5,,CHS,,,,,US,,1991
70.0,60.0,33.0,1553.0,1520,1355,85,,0,,6,19,48.0,1443.0,MCI,405.0,0,428,,1,,MDW,,N639@@,3.0,7.0,WN,,2002
160.0,,-4.0,1401.0,1405,1020,165,,0,,4,1,1.0,1021.0,BWI,,0,430,,2,,DFW,,,,,DL,,1990
81.0,,1.0,1425.0,1424,1305,79,,0,,6,1,-1.0,1304.0,MDW,349.0,0,704,,8,,MSP,,,,,NW,,1992
168.0,149.0,0.0,1758.0,1758,1410,168,,0,0.0,5,15,0.0,1410.0,MSP,1142.0,0,1274,0.0,7,0.0,BOI,0.0,N356NW,7.0,12.0,NW,0.0,2005
111.0,97.0,31.0,1526.0,1455,1300,115,,0,,7,5,35.0,1335.0,MDW,666.0,0,123,,10,,JAN,,N722,5.0,9.0,WN,,1997
57.0,43.0,-14.0,1957.0,2011,1907,64,,0,,7,27,-7.0,1900.0,STL,229.0,0,3147,,4,,IND,,N4XDAA,5.0,9.0,AA,,2003
53.0,,-7.0,2203.0,2210,2110,60,,0,,5,25,0.0,2110.0,PHX,256.0,0,1236,,9,,LAS,,,,,HP,,1992
67.0,,8.0,1912.0,1904,1755,69,,0,,3,27,10.0,1805.0,BUR,325.0,0,2457,,12,,OAK,,,,,US,,1989
165.0,,10.0,2141.0,2131,1734,177,,0,,5,16,22.0,1756.0,DCA,1208.0,0,412,,10,,IAH,,,,,CO,,1992
101.0,90.0,0.0,1600.0,1600,1410,110,,0,,1,16,9.0,1419.0,MDW,570.0,0,2976,,6,,BHM,,N387SW,4.0,7.0,WN,,2008
58.0,37.0,-6.0,931.0,937,840,57,,0,,7,20,-7.0,833.0,IAH,140.0,0,1758,,4,,AUS,,N14645,4.0,17.0,CO,,2008
286.0,222.0,24.0,1813.0,1749,1030,259,,0,,2,18,-3.0,1027.0,DTW,1979.0,0,330,,7,,LAX,,N508US,51.0,13.0,NW,,1995
130.0,,11.0,914.0,903,804,119,,0,,7,5,0.0,804.0,BNA,675.0,0,1159,,4,,PHL,,,,,AA,,1992
213.0,,1.0,1721.0,1720,1150,210,,0,,7,16,-2.0,1148.0,MSP,1578.0,0,602,,5,,OAK,,,,,NW,,1993
